Backend,Circuit,Execution Time (s)_2.4.2,Execution Time (s)_2.5.2,Execution Time (s)_Abs_Delta,Execution Time (s)_%_Change,Total Gates_2.4.2,Total Gates_2.5.2,Total Gates_Abs_Delta,Total Gates_%_Change,2Q Gate Count_2.4.2,2Q Gate Count_2.5.2,2Q Gate Count_Abs_Delta,2Q Gate Count_%_Change,Total Depth_2.4.2,Total Depth_2.5.2,Total Depth_Abs_Delta,Total Depth_%_Change,2Q Depth_2.4.2,2Q Depth_2.5.2,2Q Depth_Abs_Delta,2Q Depth_%_Change,Successful_Runs_2.4.2,Successful_Runs_2.5.2,Successful_Runs_Abs_Delta
Nighthawk_120Q,adder_n10.qasm,0.04,0.03,-0.01,-25.0,426.47,418.79,-7.68,-1.8,100.05,94.13,-5.92,-5.92,256.26,254.6,-1.66,-0.65,80.13,77.44,-2.69,-3.36,100,100,0
Nighthawk_120Q,adder_n28.qasm,0.79,0.8,0.01,1.27,1411.37,1382.17,-29.2,-2.07,318.64,307.95,-10.69,-3.35,517.56,514.85,-2.71,-0.52,153.87,153.25,-0.62,-0.4,100,100,0
Nighthawk_120Q,adder_n4.qasm,0.03,0.01,-0.02,-66.67,59.0,53.0,-6.0,-10.17,10.0,10.0,0.0,0.0,26.0,23.0,-3.0,-11.54,6.0,6.0,0.0,0.0,100,100,0
Nighthawk_120Q,adder_n64.qasm,1.81,0.53,-1.28,-70.72,3605.97,3566.72,-39.25,-1.09,807.2,822.35,15.15,1.88,1078.07,1107.66,29.59,2.74,320.01,341.09,21.08,6.59,100,100,0
Nighthawk_120Q,basis_change_n3.qasm,0.02,0.01,-0.01,-50.0,96.0,96.0,0.0,0.0,10.0,10.0,0.0,0.0,53.0,54.0,1.0,1.89,10.0,10.0,0.0,0.0,100,100,0
Nighthawk_120Q,basis_test_n4.qasm,0.01,0.02,0.01,100.0,54.0,54.0,0.0,0.0,6.0,6.0,0.0,0.0,19.0,19.0,0.0,0.0,4.0,4.0,0.0,0.0,100,100,0
Nighthawk_120Q,basis_trotter_n4.qasm,0.04,0.03,-0.01,-25.0,1393.05,1265.91,-127.14,-9.13,231.82,206.12,-25.7,-11.09,635.96,517.02,-118.94,-18.7,174.77,127.44,-47.33,-27.08,100,100,0
Nighthawk_120Q,bb84_n8.qasm,0.02,0.01,-0.01,-50.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,100,100,0
Nighthawk_120Q,bell_n4.qasm,0.01,0.02,0.01,100.0,44.0,44.0,0.0,0.0,5.0,5.0,0.0,0.0,14.0,14.0,0.0,0.0,3.0,3.0,0.0,0.0,100,100,0
Nighthawk_120Q,bigadder_n18.qasm,0.18,0.12,-0.06,-33.33,905.69,900.41,-5.28,-0.58,211.65,205.59,-6.06,-2.86,455.58,431.56,-24.02,-5.27,144.55,136.53,-8.02,-5.55,100,100,0
Nighthawk_120Q,bv_n14.qasm,0.09,0.17,0.08,88.89,171.63,208.06,36.43,21.23,26.22,32.8,6.58,25.1,64.73,83.55,18.82,29.07,25.17,31.67,6.5,25.82,100,100,0
Nighthawk_120Q,bv_n19.qasm,0.42,1.08,0.66,157.14,246.22,305.91,59.69,24.24,39.78,51.0,11.22,28.21,92.06,122.58,30.52,33.15,37.52,47.99,10.47,27.91,100,100,0
Nighthawk_120Q,bv_n30.qasm,0.25,1.15,0.9,360.0,323.47,389.21,65.74,20.32,39.71,51.23,11.52,29.01,91.84,126.89,35.05,38.16,37.24,48.9,11.66,31.31,100,100,0
Nighthawk_120Q,bv_n70.qasm,3.61,6.77,3.16,87.53,814.89,947.13,132.24,16.23,109.28,132.06,22.78,20.85,207.37,307.4,100.03,48.24,90.48,123.69,33.21,36.7,100,100,0
Nighthawk_120Q,cat_n35.qasm,0.35,0.35,0.0,0.0,243.0,243.0,0.0,0.0,34.0,34.0,0.0,0.0,106.0,106.0,0.0,0.0,34.0,34.0,0.0,0.0,100,100,0
Nighthawk_120Q,cat_n65.qasm,0.37,0.35,-0.02,-5.41,453.0,453.0,0.0,0.0,64.0,64.0,0.0,0.0,196.0,196.0,0.0,0.0,64.0,64.0,0.0,0.0,100,100,0
