Backend,Circuit,Execution Time (s)_2.4.2,Execution Time (s)_2.5.2,Execution Time (s)_Abs_Delta,Execution Time (s)_%_Change,Total Gates_2.4.2,Total Gates_2.5.2,Total Gates_Abs_Delta,Total Gates_%_Change,2Q Gate Count_2.4.2,2Q Gate Count_2.5.2,2Q Gate Count_Abs_Delta,2Q Gate Count_%_Change,Total Depth_2.4.2,Total Depth_2.5.2,Total Depth_Abs_Delta,Total Depth_%_Change,2Q Depth_2.4.2,2Q Depth_2.5.2,2Q Depth_Abs_Delta,2Q Depth_%_Change,Successful_Runs_2.4.2,Successful_Runs_2.5.2,Successful_Runs_Abs_Delta
Nighthawk_120Q,adder_n10.qasm,0.02,0.01,-0.01,-50.0,326.78,327.01,0.23,0.07,77.78,78.01,0.23,0.3,239.06,247.36,8.3,3.47,62.24,64.58,2.34,3.76,100,100,0
Nighthawk_120Q,adder_n28.qasm,0.56,0.79,0.23,41.07,1000.08,1003.7,3.62,0.36,241.08,244.7,3.62,1.5,473.57,479.82,6.25,1.32,118.69,121.28,2.59,2.18,100,100,0
Nighthawk_120Q,adder_n4.qasm,0.01,0.01,0.0,0.0,27.0,27.0,0.0,0.0,10.0,10.0,0.0,0.0,12.0,12.0,0.0,0.0,6.0,6.0,0.0,0.0,100,100,0
Nighthawk_120Q,adder_n64.qasm,3.03,0.72,-2.31,-76.24,2358.05,2374.18,16.13,0.68,591.05,607.18,16.13,2.73,937.01,968.01,31.0,3.31,236.56,251.39,14.83,6.27,100,100,0
Nighthawk_120Q,basis_change_n3.qasm,0.01,0.01,0.0,0.0,36.0,36.0,0.0,0.0,10.0,10.0,0.0,0.0,22.0,22.0,0.0,0.0,10.0,10.0,0.0,0.0,100,100,0
Nighthawk_120Q,basis_test_n4.qasm,0.02,0.01,-0.01,-50.0,11.0,11.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,100,100,0
Nighthawk_120Q,basis_trotter_n4.qasm,0.03,0.01,-0.02,-66.67,127.0,127.0,0.0,0.0,113.0,113.0,0.0,0.0,85.59,76.82,-8.77,-10.25,79.59,70.82,-8.77,-11.02,100,100,0
Nighthawk_120Q,bb84_n8.qasm,0.01,0.01,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,100,100,0
Nighthawk_120Q,bell_n4.qasm,0.01,0.01,0.0,0.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,100,100,0
Nighthawk_120Q,bigadder_n18.qasm,0.1,0.06,-0.04,-40.0,654.96,657.37,2.41,0.37,159.96,162.37,2.41,1.51,393.93,397.07,3.14,0.8,108.75,109.27,0.52,0.48,100,100,0
Nighthawk_120Q,bv_n14.qasm,0.05,0.1,0.05,100.0,60.86,63.4,2.54,4.17,17.86,20.4,2.54,14.22,21.28,23.88,2.6,12.22,17.28,19.88,2.6,15.05,100,100,0
Nighthawk_120Q,bv_n19.qasm,0.22,0.95,0.73,331.82,83.9,88.24,4.34,5.17,25.9,30.24,4.34,16.76,28.59,32.98,4.39,15.36,24.59,28.98,4.39,17.85,100,100,0
Nighthawk_120Q,bv_n30.qasm,0.22,1.05,0.83,377.27,116.93,121.67,4.74,4.05,25.93,30.67,4.74,18.28,28.55,33.66,5.11,17.9,24.55,29.66,5.11,20.81,100,100,0
Nighthawk_120Q,bv_n70.qasm,3.41,6.42,3.01,88.27,272.86,282.42,9.56,3.5,61.86,71.42,9.56,15.45,56.65,72.25,15.6,27.54,52.65,68.25,15.6,29.63,100,100,0
Nighthawk_120Q,cat_n35.qasm,0.08,0.07,-0.01,-12.5,71.0,71.0,0.0,0.0,34.0,34.0,0.0,0.0,36.0,36.0,0.0,0.0,34.0,34.0,0.0,0.0,100,100,0
Nighthawk_120Q,cat_n65.qasm,0.08,0.07,-0.01,-12.5,131.0,131.0,0.0,0.0,64.0,64.0,0.0,0.0,66.0,66.0,0.0,0.0,64.0,64.0,0.0,0.0,100,100,0
Nighthawk_120Q,cat_state_n22.qasm,0.08,0.07,-0.01,-12.5,45.0,45.0,0.0,0.0,21.0,21.0,0.0,0.0,23.0,23.0,0.0,0.0,21.0,21.0,0.0,0.0,100,100,0
Nighthawk_120Q,cat_state_n4.qasm,0.01,0.01,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,100,100,0
Nighthawk_120Q,cc_n12.qasm,0.1,0.09,-0.01,-10.0,64.84,66.49,1.65,2.54,15.84,17.49,1.65,10.42,42.47,44.02,1.55,3.65,15.47,17.02,1.55,10.02,100,100,0
Nighthawk_120Q,cc_n32.qasm,0.93,4.27,3.34,359.14,181.75,189.83,8.08,4.45,52.75,60.83,8.08,15.32,112.36,125.76,13.4,11.93,45.36,58.76,13.4,29.54,100,100,0
Nighthawk_120Q,cc_n64.qasm,8.07,3.3,-4.77,-59.11,380.7,398.71,18.01,4.73,123.7,141.71,18.01,14.56,229.89,264.73,34.84,15.16,98.89,133.73,34.84,35.23,100,100,0
Nighthawk_120Q,deutsch_n2.qasm,0.01,0.01,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,100,100,0
Nighthawk_120Q,dnn_n16.qasm,0.06,0.06,0.0,0.0,64.0,64.0,0.0,0.0,48.0,48.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,100,100,0
Nighthawk_120Q,dnn_n2.qasm,0.01,0.01,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,100,100,0
Nighthawk_120Q,dnn_n33.qasm,0.17,0.09,-0.08,-47.06,922.57,931.89,9.32,1.01,230.57,239.89,9.32,4.04,387.86,399.91,12.05,3.11,117.99,123.61,5.62,4.76,100,100,0
Nighthawk_120Q,dnn_n51.qasm,0.52,0.16,-0.36,-69.23,1455.64,1473.2,17.56,1.21,375.64,393.2,17.56,4.67,598.36,618.72,20.36,3.4,183.84,192.99,9.15,4.98,100,100,0
Nighthawk_120Q,dnn_n8.qasm,0.03,0.02,-0.01,-33.33,32.0,32.0,0.0,0.0,24.0,24.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,100,100,0
Nighthawk_120Q,error_correctiond3_n5.qasm,0.02,0.01,-0.01,-50.0,99.0,99.01,0.01,0.01,36.0,36.01,0.01,0.03,61.0,61.04,0.04,0.07,34.0,34.03,0.03,0.09,100,100,0
Nighthawk_120Q,fredkin_n3.qasm,0.01,0.01,0.0,0.0,24.0,24.0,0.0,0.0,10.0,10.0,0.0,0.0,14.62,14.67,0.05,0.34,9.94,9.95,0.01,0.1,100,100,0
Nighthawk_120Q,gcm_h6.qasm,0.11,0.06,-0.05,-45.45,1508.07,1466.67,-41.4,-2.75,610.07,593.67,-16.4,-2.69,1207.71,1213.6,5.89,0.49,571.71,555.02,-16.69,-2.92,100,100,0
Nighthawk_120Q,ghz_n40.qasm,0.07,0.07,0.0,0.0,81.0,81.0,0.0,0.0,39.0,39.0,0.0,0.0,41.0,41.0,0.0,0.0,39.0,39.0,0.0,0.0,100,100,0
Nighthawk_120Q,ghz_n78.qasm,0.08,0.07,-0.01,-12.5,157.0,157.0,0.0,0.0,77.0,77.0,0.0,0.0,79.0,79.0,0.0,0.0,77.0,77.0,0.0,0.0,100,100,0
Nighthawk_120Q,ghz_state_n23.qasm,0.07,0.07,0.0,0.0,47.0,47.0,0.0,0.0,22.0,22.0,0.0,0.0,24.0,24.0,0.0,0.0,22.0,22.0,0.0,0.0,100,100,0
Nighthawk_120Q,grover_n2.qasm,0.01,0.01,0.0,0.0,14.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,100,100,0
Nighthawk_120Q,hs4_n4.qasm,0.02,0.01,-0.01,-50.0,20.0,20.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,100,100,0
Nighthawk_120Q,inverseqft_n4.qasm,0.02,0.01,-0.01,-50.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,,12.0,12.0,0.0,0.0,0.0,0.0,0.0,,100,100,0
Nighthawk_120Q,ipea_n2.qasm,0.03,0.02,-0.01,-33.33,41.0,41.0,0.0,0.0,15.0,15.0,0.0,0.0,41.0,41.0,0.0,0.0,15.0,15.0,0.0,0.0,100,100,0
Nighthawk_120Q,ising_n10.qasm,0.03,0.03,0.0,0.0,340.0,340.0,0.0,0.0,90.0,90.0,0.0,0.0,54.0,54.0,0.0,0.0,20.0,20.0,0.0,0.0,100,100,0
Nighthawk_120Q,ising_n26.qasm,0.08,0.07,-0.01,-12.5,166.0,166.0,0.0,0.0,50.0,50.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,100,100,0
Nighthawk_120Q,ising_n34.qasm,0.07,0.07,0.0,0.0,218.0,218.0,0.0,0.0,66.0,66.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,100,100,0
