Backend,Circuit,Execution Time (s)_2.4.2,Execution Time (s)_2.5.2,Execution Time (s)_Abs_Delta,Execution Time (s)_%_Change,Total Gates_2.4.2,Total Gates_2.5.2,Total Gates_Abs_Delta,Total Gates_%_Change,2Q Gate Count_2.4.2,2Q Gate Count_2.5.2,2Q Gate Count_Abs_Delta,2Q Gate Count_%_Change,Total Depth_2.4.2,Total Depth_2.5.2,Total Depth_Abs_Delta,Total Depth_%_Change,2Q Depth_2.4.2,2Q Depth_2.5.2,2Q Depth_Abs_Delta,2Q Depth_%_Change,Successful_Runs_2.4.2,Successful_Runs_2.5.2,Successful_Runs_Abs_Delta
Nighthawk_120Q,adder_n10.qasm,0.03,0.02,-0.01,-33.33,429.2,421.5,-7.7,-1.79,100.8,94.3,-6.5,-6.45,261.3,248.4,-12.9,-4.94,81.6,77.2,-4.4,-5.39,10,10,0
Nighthawk_120Q,adder_n28.qasm,0.42,2.16,1.74,414.29,1420.1,1373.8,-46.3,-3.26,319.6,307.3,-12.3,-3.85,525.2,514.1,-11.1,-2.11,157.1,153.5,-3.6,-2.29,10,10,0
Nighthawk_120Q,adder_n4.qasm,0.01,0.01,0.0,0.0,59.0,53.0,-6.0,-10.17,10.0,10.0,0.0,0.0,26.0,23.0,-3.0,-11.54,6.0,6.0,0.0,0.0,10,10,0
Nighthawk_120Q,adder_n64.qasm,2.51,2.78,0.27,10.76,3545.5,3583.2,37.7,1.06,792.7,825.0,32.3,4.07,1091.0,1103.3,12.3,1.13,323.8,342.0,18.2,5.62,10,10,0
Nighthawk_120Q,basis_change_n3.qasm,0.01,0.01,0.0,0.0,96.0,96.0,0.0,0.0,10.0,10.0,0.0,0.0,53.0,54.0,1.0,1.89,10.0,10.0,0.0,0.0,10,10,0
Nighthawk_120Q,basis_test_n4.qasm,0.01,0.01,0.0,0.0,54.0,54.0,0.0,0.0,6.0,6.0,0.0,0.0,19.0,19.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,basis_trotter_n4.qasm,0.03,0.02,-0.01,-33.33,1397.9,1253.3,-144.6,-10.34,232.4,203.6,-28.8,-12.39,642.3,515.0,-127.3,-19.82,175.9,127.1,-48.8,-27.74,10,10,0
Nighthawk_120Q,bb84_n8.qasm,0.01,0.01,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,10,10,0
Nighthawk_120Q,bell_n4.qasm,0.01,0.01,0.0,0.0,44.0,44.0,0.0,0.0,5.0,5.0,0.0,0.0,14.0,14.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,bigadder_n18.qasm,0.11,0.11,0.0,0.0,916.8,900.5,-16.3,-1.78,214.4,205.1,-9.3,-4.34,479.3,429.1,-50.2,-10.47,153.6,135.7,-17.9,-11.65,10,10,0
Nighthawk_120Q,bv_n14.qasm,0.07,0.12,0.05,71.43,168.5,208.5,40.0,23.74,25.6,34.0,8.4,32.81,63.1,82.8,19.7,31.22,24.9,32.0,7.1,28.51,10,10,0
Nighthawk_120Q,bv_n19.qasm,0.29,2.36,2.07,713.79,251.8,294.1,42.3,16.8,41.1,47.6,6.5,15.82,95.8,118.1,22.3,23.28,39.2,46.4,7.2,18.37,10,10,0
Nighthawk_120Q,bv_n30.qasm,0.21,0.21,0.0,0.0,319.7,391.8,72.1,22.55,40.2,51.5,11.3,28.11,89.6,128.1,38.5,42.97,37.5,49.1,11.6,30.93,10,10,0
Nighthawk_120Q,bv_n70.qasm,5.47,5.33,-0.14,-2.56,817.2,932.9,115.7,14.16,110.8,127.2,16.4,14.8,203.1,295.9,92.8,45.69,88.7,118.2,29.5,33.26,10,10,0
Nighthawk_120Q,cat_n35.qasm,0.32,0.32,0.0,0.0,243.0,243.0,0.0,0.0,34.0,34.0,0.0,0.0,106.0,106.0,0.0,0.0,34.0,34.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_n65.qasm,0.34,0.34,0.0,0.0,453.0,453.0,0.0,0.0,64.0,64.0,0.0,0.0,196.0,196.0,0.0,0.0,64.0,64.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_state_n22.qasm,0.32,0.32,0.0,0.0,152.0,152.0,0.0,0.0,21.0,21.0,0.0,0.0,67.0,67.0,0.0,0.0,21.0,21.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_state_n4.qasm,0.01,0.01,0.0,0.0,25.0,25.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,cc_n12.qasm,0.1,0.1,0.0,0.0,129.6,148.0,18.4,14.2,22.2,27.1,4.9,22.07,73.3,85.4,12.1,16.51,21.1,26.2,5.1,24.17,10,10,0
Nighthawk_120Q,cc_n32.qasm,0.9,8.58,7.68,853.33,427.9,545.1,117.2,27.39,88.5,112.6,24.1,27.23,232.6,323.2,90.6,38.95,76.2,107.1,30.9,40.55,10,10,0
