Backend,Circuit,Execution Time (s)_2.4.2,Execution Time (s)_2.5.2,Execution Time (s)_Abs_Delta,Execution Time (s)_%_Change,Total Gates_2.4.2,Total Gates_2.5.2,Total Gates_Abs_Delta,Total Gates_%_Change,2Q Gate Count_2.4.2,2Q Gate Count_2.5.2,2Q Gate Count_Abs_Delta,2Q Gate Count_%_Change,Total Depth_2.4.2,Total Depth_2.5.2,Total Depth_Abs_Delta,Total Depth_%_Change,2Q Depth_2.4.2,2Q Depth_2.5.2,2Q Depth_Abs_Delta,2Q Depth_%_Change,Successful_Runs_2.4.2,Successful_Runs_2.5.2,Successful_Runs_Abs_Delta
Nighthawk_120Q,adder_n10.qasm,0.02,0.02,0.0,0.0,327.0,327.1,0.1,0.03,78.0,78.1,0.1,0.13,240.2,248.8,8.6,3.58,62.7,64.6,1.9,3.03,10,10,0
Nighthawk_120Q,adder_n28.qasm,0.65,0.88,0.23,35.38,1001.2,1004.1,2.9,0.29,242.2,245.1,2.9,1.2,483.0,481.4,-1.6,-0.33,122.0,121.7,-0.3,-0.25,10,10,0
Nighthawk_120Q,adder_n4.qasm,0.01,0.01,0.0,0.0,27.0,27.0,0.0,0.0,10.0,10.0,0.0,0.0,12.0,12.0,0.0,0.0,6.0,6.0,0.0,0.0,10,10,0
Nighthawk_120Q,adder_n64.qasm,3.33,0.07,-3.26,-97.9,2355.8,2372.5,16.7,0.71,588.8,605.5,16.7,2.84,938.0,979.0,41.0,4.37,235.4,252.4,17.0,7.22,10,10,0
Nighthawk_120Q,basis_change_n3.qasm,0.01,0.01,0.0,0.0,36.0,36.0,0.0,0.0,10.0,10.0,0.0,0.0,22.0,22.0,0.0,0.0,10.0,10.0,0.0,0.0,10,10,0
Nighthawk_120Q,basis_test_n4.qasm,0.01,0.01,0.0,0.0,11.0,11.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,basis_trotter_n4.qasm,0.02,0.01,-0.01,-50.0,127.0,127.0,0.0,0.0,113.0,113.0,0.0,0.0,85.8,78.4,-7.4,-8.62,79.8,72.4,-7.4,-9.27,10,10,0
Nighthawk_120Q,bb84_n8.qasm,0.01,0.01,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,10,10,0
Nighthawk_120Q,bell_n4.qasm,0.02,0.01,-0.01,-50.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,bigadder_n18.qasm,0.11,0.05,-0.06,-54.55,655.1,658.7,3.6,0.55,160.1,163.7,3.6,2.25,391.9,401.5,9.6,2.45,109.2,109.5,0.3,0.27,10,10,0
